,Component,Qty,Link
1,NEMA 17 Stepper Motor,2,https://robu.in/product/nema17-4-2-kgcm-stepper-motor/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWfACSRPaThPDtIqQue2PMj4M&gclid=Cj0KCQjwgr_NBhDFARIsAHiUWr6DFFygsEKEDR4sWozF4373RLN6MDtWw9F22Hn5Y7dMvsjB1g85y0YaApONEALw_wcB
2,DRV8825 Stepper Driver,2,https://robu.in/product/a4988-driver-stepper-motor-driver/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWfBTb793h31Wf6fsuRkRTp3Q&gclid=Cj0KCQjwgr_NBhDFARIsAHiUWr4rR-GqsLtu_R82UTLxyA-wqTKFdEXGnsca8ZjSfueLzY7gBnW9UeEaAuZ0EALw_wcB
3,Arduino Uno,1,https://robu.in/product/arduino-uno-r3-ch340g-atmega328p-devlopment-board/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWfBTb793h31Wf6fsuRkRTp3Q&gclid=Cj0KCQjwgr_NBhDFARIsAHiUWr6CuLKO_-04GCyp9FilsL-bf9V3oBs1qKPr9rysy0HGpU2DqRncB1YaAl2ZEALw_wcB
4,CNC Shield V3,1,https://robu.in/product/cnc-shield-v3-engraving-machine-3d-printer-a4988-drv8825-driver-expansion-board/
5,MG90 Servo Motor,1,https://robu.in/product/towerpro-mg90s-mini-digital-servo-motor-180-rotation-standard-quality/?gad_source=1&gad_campaignid=20381096599&gbraid=0AAAAADvLFWfACSRPaThPDtIqQue2PMj4M&gclid=Cj0KCQjwgr_NBhDFARIsAHiUWr4gF_poQ5W03uiYPPW6m55aTAP-BexVu6MqJ_7aIVu-mwXeYl8qq9gaAlgvEALw_wcB
6,12V 2A Adapter,1,https://robu.in/product/standard-12v-2a-power-supply-with-5-5mm-dc-plug-3-pin-input-plug/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWeQlXIpph1PzKz17scTKiCTl&gclid=Cj0KCQjwgr_NBhDFARIsAHiUWr7rpVFyFt8Tg3CkkshLmA6mJRdJRdlx3_hfrMzL2bq2i5GXxB_xcXgaAocmEALw_wcB
7,Chrome Plated Smooth Rod Diameter 8 MM,4,https://robu.in/product/380-mm-long-chrome-plated-smooth-rod-diameter-8-mm/
8,LM8MU Linear Bearings,4,https://robu.in/product/lm8uu-8-mm-linear-bearings-linear-motion-bearing/
9,M3 Screws,20,
10,M3-Nut Bolt,8,
11,GT2 Belt & Pulley Set,2 sets,https://robu.in/product/1m-gt2-width-6mm-black-open-timing-belt-for-3d-printer/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWeJoeyAO5Jy3y5ndikMNZcbg&gclid=Cj0KCQjwgr_NBhDFARIsAHiUWr7K3_R5vNPzNPCUz69IWXUIk2IIXl13wHpysgwIRPSLDYtpjMrlVpcaAnPGEALw_wcB
12,Idler Pulley,2,https://robu.in/product/aluminum-gt2-timing-idler-pulley-6mm-belt-20-tooth-5mm-bore-2pcs/?gad_source=1&gad_campaignid=17427803012&gbraid=0AAAAADvLFWeJoeyAO5Jy3y5ndikMNZcbg&gclid=Cj0KCQjwgr_NBhDFARIsAHiUWr7RE5_VfLO94XSS8blZ4Il7IkTS154paSaSl2tXpQ0dwUu5zbcelogaAt6lEALw_wcB